,Terms,Exceptions,Affiliation,Republican Usage,Democrat Usage,Total Usage,Accuracy %
0,trump 2020,Dump Trump 2020,0,189,0,189,100.0
1,vote blue,"why vote blue, if you vote blue, why would anyone vote blue",1,1,37,38,97.37
2,vote red,"why vote red, if you vote red, why would anyone vote red",0,40,0,40,100.0
3,trump/pence 2020,,0,2,0,2,100.0
4,trumpster,,1,0,12,12,100.0
5,sleepy joe,,0,6,0,6,100.0
6,maga ,,0,2,1,3,66.67
7,baby killer,,0,2,0,2,100.0
8,veto sununu,,1,1,2,3,66.67
9,#bidenharris2020,,1,0,1,1,100.0
10,trumper,,1,1,20,21,95.24
11,vote him out,,1,1,24,25,96.0
12,orange,size of orange,1,2,20,22,90.91
13,antifa,,0,12,0,12,100.0
14,demtards,,0,1,0,1,100.0
15,radical left,,0,1,0,1,100.0
16,democrats suck,,0,2,0,2,100.0
17,republicans suck,,1,0,1,1,100.0
18,another 4 years,,0,1,1,2,50.0
19,vote republican,,0,15,1,16,93.75
20,vote democrat,never vote democrat,1,7,1,8,12.5
21,byedon2020,,1,0,2,2,100.0
22,socialism,"not socialism, nor socialism, different than socialism",0,18,8,26,69.23
23,i am a democrat,,1,0,2,2,100.0
24,i am not a democrat,,0,3,0,3,100.0
25,i am a republican,,0,1,0,1,100.0
26,i am not a republican,,1,0,0,0,
27,make america great again,,0,0,1,1,0.0
28,dump trump,,1,0,6,6,100.0
29,rioters,,0,5,1,6,83.33
30,biden 2020,dump biden 2020,1,0,11,11,100.0
31,obamagate,,0,3,0,3,100.0
32,fillthatseat,,0,3,0,3,100.0
33,indictpelosi,,0,1,0,1,100.0
34,#trump2020,,0,22,0,22,100.0
35,liberal agenda,,0,1,0,1,100.0
36,socialist,,0,27,10,37,72.97
37,fuck biden,,0,4,0,4,100.0
38,fuck trump,,1,0,1,1,100.0
39,vote trump out,,1,0,2,2,100.0
40,racist,,1,15,11,26,42.31
41,dictator,,1,3,4,7,57.14
42,trump is a disgrace,,1,0,2,2,100.0
43,sununu 2020,,0,16,0,16,100.0
44,fox propaganda,,1,0,0,0,
45,trumpet,,1,0,1,1,100.0
